"dt_referencia"|"hr_referencia"|"tot_alo"|"tot_cpc"|"tot_venda"|"alo_acionamento"|"cpc_alo"|"venda_cpc"|"cpc_acionamento"|"venda_acionamento"
"2016-08-09"|"12"|396|90|18|10.90|22.73|20.00|2.48|0.50
"2016-08-09"|"13"|485|123|20|9.51|25.36|16.26|2.41|0.39
"2016-08-09"|"14"|637|138|15|9.86|21.66|10.87|2.14|0.23
"2016-08-09"|"15"|621|115|15|9.41|18.52|13.04|1.74|0.23
"2016-08-09"|"16"|605|135|14|10.81|22.31|10.37|2.41|0.25
"2016-08-09"|"17"|416|97|13|11.97|23.32|13.40|2.79|0.37
"2016-08-09"|"18"|354|104|17|12.33|29.38|16.35|3.62|0.59
"2016-08-09"|"19"|325|74|9|13.29|22.77|12.16|3.03|0.37
"2016-08-09"|"20"|276|70|8|14.15|25.36|11.43|3.59|0.41
"2016-08-10"|"08"|10|0|0|24.39|0.00|0|0.00|0.00
"2016-08-10"|"09"|312|72|12|10.25|23.08|16.67|2.37|0.39
"2016-08-10"|"10"|383|90|13|9.21|23.50|14.44|2.16|0.31
"2016-08-10"|"11"|388|107|18|12.23|27.58|16.82|3.37|0.57
"2016-08-10"|"12"|339|85|18|12.26|25.07|21.18|3.07|0.65
"2016-08-10"|"13"|472|108|23|11.98|22.88|21.30|2.74|0.58
"2016-08-10"|"14"|602|135|21|10.02|22.43|15.56|2.25|0.35
"2016-08-10"|"15"|530|97|23|11.66|18.30|23.71|2.13|0.51
"2016-08-10"|"16"|461|122|21|11.12|26.46|17.21|2.94|0.51
"2016-08-10"|"17"|448|95|12|13.68|21.21|12.63|2.90|0.37
"2016-08-10"|"18"|328|96|18|14.62|29.27|18.75|4.28|0.80
"2016-08-10"|"19"|367|100|21|14.59|27.25|21.00|3.97|0.83
"2016-08-10"|"20"|289|77|10|11.87|26.64|12.99|3.16|0.41
"2016-08-11"|"08"|7|1|1|13.21|14.29|100.00|1.89|1.89
"2016-08-11"|"09"|365|111|25|9.21|30.41|22.52|2.80|0.63
"2016-08-11"|"10"|356|88|24|9.77|24.72|27.27|2.41|0.66
"2016-08-11"|"11"|309|89|22|11.23|28.80|24.72|3.23|0.80
"2016-08-11"|"12"|425|126|30|12.85|29.65|23.81|3.81|0.91
"2016-08-11"|"13"|503|148|17|12.70|29.42|11.49|3.74|0.43
"2016-08-11"|"14"|526|138|22|12.40|26.24|15.94|3.25|0.52
"2016-08-11"|"15"|550|97|12|13.59|17.64|12.37|2.40|0.30
"2016-08-11"|"16"|511|100|25|19.78|19.57|25.00|3.87|0.97
"2016-08-11"|"17"|417|87|15|18.05|20.86|17.24|3.77|0.65
"2016-08-11"|"18"|301|67|8|19.56|22.26|11.94|4.35|0.52
"2016-08-11"|"19"|269|76|10|18.94|28.25|13.16|5.35|0.70
"2016-08-11"|"20"|240|66|12|19.20|27.50|18.18|5.28|0.96
"2016-08-12"|"08"|2|0|0|15.38|0.00|0|0.00|0.00
"2016-08-12"|"09"|342|112|28|22.50|32.75|25.00|7.37|1.84
"2016-08-12"|"10"|359|109|28|22.79|30.36|25.69|6.92|1.78
"2016-08-12"|"11"|441|136|35|24.87|30.84|25.74|7.67|1.97
"2016-08-12"|"12"|479|142|26|24.39|29.65|18.31|7.23|1.32
"2016-08-12"|"13"|502|139|38|22.80|27.69|27.34|6.31|1.73
"2016-08-12"|"14"|575|122|27|21.63|21.22|22.13|4.59|1.02
"2016-08-12"|"15"|458|116|25|26.20|25.33|21.55|6.64|1.43
"2016-08-12"|"16"|392|99|16|23.76|25.26|16.16|6.00|0.97
"2016-08-12"|"17"|356|99|22|21.76|27.81|22.22|6.05|1.34
"2016-08-12"|"18"|311|97|28|22.60|31.19|28.87|7.05|2.03
"2016-08-12"|"19"|323|92|17|21.96|28.48|18.48|6.25|1.16
"2016-08-12"|"20"|154|45|7|19.95|29.22|15.56|5.83|0.91
"2016-08-13"|"09"|18|3|1|26.87|16.67|33.33|4.48|1.49
"2016-08-13"|"10"|414|134|31|21.85|32.37|23.13|7.07|1.64
"2016-08-13"|"11"|415|124|29|21.47|29.88|23.39|6.41|1.50
"2016-08-13"|"12"|432|130|27|18.65|30.09|20.77|5.61|1.17
"2016-08-13"|"13"|389|118|17|21.25|30.33|14.41|6.44|0.93
"2016-08-13"|"14"|350|129|18|24.46|36.86|13.95|9.01|1.26
"2016-08-13"|"15"|433|134|23|22.32|30.95|17.16|6.91|1.19
"2016-08-13"|"16"|39|8|1|25.49|20.51|12.50|5.23|0.65
"2016-08-15"|"08"|6|2|0|40.00|33.33|0.00|13.33|0.00
"2016-08-15"|"09"|360|122|14|23.17|33.89|11.48|7.85|0.90
"2016-08-15"|"10"|367|112|22|20.08|30.52|19.64|6.13|1.20
"2016-08-15"|"11"|468|136|28|21.26|29.06|20.59|6.18|1.27
"2016-08-15"|"12"|433|124|28|20.95|28.64|22.58|6.00|1.35
"2016-08-15"|"13"|505|144|30|20.40|28.51|20.83|5.82|1.21
"2016-08-15"|"14"|582|160|24|22.42|27.49|15.00|6.16|0.92
"2016-08-15"|"15"|545|121|21|11.47|22.20|17.36|2.55|0.44
"2016-08-15"|"16"|468|133|24|20.82|28.42|18.05|5.92|1.07
"2016-08-15"|"17"|383|99|15|21.36|25.85|15.15|5.52|0.84
"2016-08-15"|"18"|325|89|13|23.25|27.38|14.61|6.37|0.93
"2016-08-15"|"19"|286|86|11|23.64|30.07|12.79|7.11|0.91
"2016-08-15"|"20"|260|62|10|24.21|23.85|16.13|5.77|0.93
"2016-08-16"|"08"|8|0|0|32.00|0.00|0|0.00|0.00
"2016-08-16"|"09"|319|93|24|22.12|29.15|25.81|6.45|1.66
